created_at,mint,symbol,refusal_reason,token_peak,token_label,inflow,trigger_mult,signature
2026-07-24 21:16:06.333375+00,5mLfZFpD1h2bpGuEJLJBUrwLmTobPurrHiG4j3b2kBH2,Pets,sizer $2.42 below fee-viable floor $2.50 — probe-class stays paper (sizer-responsive; mandate tickets are PRECISION-only),2.243,winner,1.208,1.462,RISER
2026-07-24 21:41:44.465579+00,7yQa9K5aTLHkAx2ueY6s3z8RXN9TLzu8McskK3aD12cD,Deer,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.898,dud,1.113,1.238,RUG_RISK
2026-07-24 21:43:26.766326+00,4riAjvojZuPqunXYrYAuGLxeaQhi3aSaLPX8rmovzQHk,Synergy,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),11.072,winner,1.180,1.392,RUG_RISK
2026-07-24 21:43:31.115971+00,6nxwtLnQXKtE6zyTmaG1EMKdiCLKvcKTN84PiD4Hd9hZ,Deer,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.544,dud,1.183,1.400,RUG_RISK
2026-07-24 21:47:28.833937+00,GaEeBmh4YWs8RmCbrgoAfYWR1a4D3SexKVmZkvhZpump,SmiskJim,"trigger 1.83× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",5.019,winner,1.389,1.829,RUG_RISK
2026-07-24 21:47:31.995724+00,E2CbgF8odmyUBiAnrERkqm7pFV65ickjwYCxebkSpCih,Deer,"trigger 1.72× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",5.855,winner,1.313,1.723,RUG_RISK
2026-07-24 21:49:59.259324+00,FCBH2n8mLcMrDiB6ubEUjvDB9y5U48n47J7EMX3jtbPB,Diarrhea,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.254,rug,1.107,1.225,RUG_RISK
2026-07-24 21:56:52.161441+00,GrUa3riELhBCnt3YAdPpswy9rkzjHqx5P8WVP21Un5oR,Diarrhea,MOON_VIOLENT — regime gate: thin sample (0) — waiting for paper to prove the turn,6.977,winner,1.379,1.903,MOON_VIOLENT
2026-07-24 21:59:07.750516+00,DwMkDVSmXwkn36L7Z623DpQ19z94iqq517LmdsAU85cM,looong,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.814,rug,1.113,1.238,RUG_RISK
2026-07-24 22:07:14.321341+00,5zZW3zvHUPoHH8fNhhVzoyqSJ3om53f4yyHPYetc8oFh,Diarrhea,MOON_VIOLENT — regime gate: thin sample (1) — waiting for paper to prove the turn,1.514,rug,1.142,1.302,MOON_VIOLENT
2026-07-24 22:10:08.820144+00,HHnHxNtBsoxnC44n3ewwK3msnjjuN92wbLXtR1F2ugcR,opensource,sizer $2.42 below fee-viable floor $2.50 — probe-class stays paper (sizer-responsive; mandate tickets are PRECISION-only),1.724,dud,1.242,1.542,RISER
2026-07-24 22:13:40.871219+00,HhjK3MDaYQ2mGTagh6Dtnn6L87h3iAQs98mVNYipeC4v,opensource,pool 2377 below the 2500 depth floor (smart-money floor) — no exit at size,2.636,winner,1.302,1.695,RUG_RISK
2026-07-24 22:16:01.484946+00,DhD3rdhesZTd36mFFw56J8zHfxGMKsoaCZW7QPND9bBv,HOPIUMTRUT,"inflow 1.20× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",17.349,winner,1.198,1.434,RISER
2026-07-24 22:16:47.851853+00,4fccAvsE8C9ED1AdtXxaMEQvoBjDoG6e8dqC8oELJoxf,Hammerhead,"trigger 1.76× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",11.990,winner,1.328,1.762,MOON_STEADY
2026-07-24 22:38:44.906727+00,AMCAKR5YPgj7FzWEtDdgB6aUjcepZWNbwT9DQFtMssZB,all/in,pool 1889 below the 8000 depth floor — no exit at size,1.875,rug,1.166,1.360,MOON_FAST
2026-07-24 22:38:55.028695+00,Ef5L3e5qBUygN7NoG5TgjDYawcuGBfJHWtcdw2CcnSJp,Pumuckel,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.230,winner,1.119,1.215,RUG_RISK
2026-07-24 22:50:13.269838+00,FH8V1g9Q83n9GCfzhBBhK4qQQoEtsfVTcpRpae3B7maD,Pumuckel,pool 1901 below the 2500 depth floor (smart-money floor) — no exit at size,1.564,rug,1.186,1.407,MOON_STEADY
2026-07-24 23:01:45.122343+00,4HNs1X7nrm4UYqhLF8qfmwdH6oXjaDpJpkT8DaUf3HWe,SmiskJim,pool 1894 below the 8000 depth floor — no exit at size,260.787,winner,1.167,1.361,MOON_STEADY
2026-07-24 23:05:41.655948+00,99nvDZ4VYAQ8WhM7mJuryP6QjVhX4Ev6xQenwjxiH53s,SOLNOTE,pool 2293 below the 2500 depth floor (smart-money floor) — no exit at size,1.755,rug,1.321,1.746,RUG_RISK
2026-07-24 23:07:17.040695+00,7GimGsvCSsMuJXRpw1ASJ5cU6jYi8osutoTjJ1MgCDF9,SPCX,"inflow 1.14× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",8.168,winner,1.135,1.289,BASE
2026-07-24 23:07:19.745082+00,E57UwnCDeBABWZgjW752f61AGs3LAvyLr2qRG9Mr93NH,Pumuckel,clone wave: Pumuckel rugged or still open on another mint <60m — live refuses relaunches (paper keeps exploring),11.753,winner,1.181,1.395,MOON_STEADY
2026-07-24 23:07:29.879053+00,AqUSCsK95THwDCRhPwJT1hDzEbSE8sow5CBJkt7hLzds,MEMENOTE,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),6.766,winner,1.170,1.371,RUG_RISK
2026-07-24 23:08:56.170007+00,6B3djghCMi1YrotoQs1mZQeRyVBXkHPhYHxi4izEe2xh,SPCX,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),4.596,winner,1.185,1.405,RUG_RISK
2026-07-24 23:12:08.684948+00,7sxKjwcf5VJqUXr81NSEJgANmR2QBdStGGvpt7xZBR2s,805K,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),3.668,winner,1.107,1.226,RUG_RISK
2026-07-24 23:15:38.395053+00,9pW3MFxNak6w694R2m4FQSqaM2ezJA8YrBfmuwenS7T6,SmiskJim,pool 1857 below the 8000 depth floor — no exit at size,5.304,winner,1.130,1.278,MOON_STEADY
2026-07-24 23:23:59.151076+00,BGMyHLqAng7uhWpwqkw71XQS1FvCC2unmmB8UCJ4S6U6,FUCK,pool 2329 below the 8000 depth floor — no exit at size,1.898,rug,1.322,1.748,RUG_RISK
2026-07-24 23:26:25.613812+00,7NvpV9hjE77CefthxQahBeyQRE5aAMudEwUWsGsMxn7h,FUCK,clone wave: FUCK rugged or still open on another mint <60m — live refuses relaunches (paper keeps exploring),7.530,winner,1.326,1.757,BASE
2026-07-24 23:32:40.040808+00,AZTy2z1GNV7MNDfZKCgRyA9gJbKMbBebM9eN5qipump,USWR,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),7.255,winner,1.116,1.221,RUG_RISK
2026-07-24 23:35:55.551809+00,HY7D1yrtPu2tGAhyxokcasvugzzbwKtRWLvFFmNaN4d1,Cupsey,pool 2282 below the 8000 depth floor — no exit at size,2.255,winner,1.366,1.866,MOON_SLOW
2026-07-24 23:39:51.958572+00,GzsgSFpG963dCBMjaUFVvGQX1NJ8o6bQXxHj27UEtsvv,SOLNOTE,clone wave: SOLNOTE rugged or still open on another mint <60m — live refuses relaunches (paper keeps exploring),5.830,winner,1.260,1.587,RISER
2026-07-24 23:42:23.563668+00,5yeEPpTpQv3BxqPLVnrKyzMVfhUHbAjCC6XxncBkpump,Soyjak,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.095,winner,1.118,1.221,RUG_RISK
2026-07-24 23:51:17.369959+00,HfnogikYMVXS8VG4q7fQsJQM9Y2FkM5Pc3AxARF8iMM5,HatchWatch,"trigger 1.78× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",4.028,winner,1.334,1.780,BASE
2026-07-24 23:51:41.760481+00,2yW5admEjYzbfubt4Jiqqt7LczmoNzocahKY6gWJnpu6,MONA,sizer $2.42 below fee-viable floor $2.50 — probe-class stays paper (sizer-responsive; mandate tickets are PRECISION-only),1.514,dud,1.208,1.409,RUG_RISK
2026-07-24 23:58:03.542726+00,6R1gfwb1UoY9hKJss8iZk2ENhhmRrCr9TpMVUwTxZZLC,Ancillary,"trigger 1.85× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",3.240,winner,1.359,1.848,RISER
2026-07-24 23:58:53.815525+00,G8uuDTfJPmff38b9yxn4jEN12kdFSPBQGnoeQEaz4zeC,MANIFEST,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.689,winner,1.376,1.894,RUG_RISK
2026-07-25 00:01:24.731731+00,6NnebT6AcMS4izyahcj2BFeqDevVZVCVuBq83EyeeyCo,leash,"trigger 1.93× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",9.696,winner,1.390,1.934,BASE
2026-07-25 00:06:54.775222+00,3iuvnPfNtknEr34vE3FFZ8k6BZyQBCJyVCgfA3srK9hV,DUG,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.281,rug,1.102,1.212,RUG_RISK
2026-07-25 00:16:49.951306+00,8WNuVpgrTSzX3NX4cmotTgdVvq9iAY24bYjvbv7HzbWf,STEVE,"trigger 2.00× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",6.329,winner,1.442,2.002,BASE
2026-07-25 00:23:57.573944+00,ER95HyTN2zoeRypwXEv53xsc4YqgwFf34mamzN8HyocE,MANIFEST,pool 2036 below the 8000 depth floor — no exit at size,2.236,winner,1.191,1.418,MOON_SLOW
2026-07-25 00:26:34.610868+00,J1fM6nVujWQ3vEAmGYN3HiJnkU7UXq6Q9umwBVuu6FqL,Former,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),3.129,winner,1.100,1.210,RUG_RISK
2026-07-25 00:30:31.49471+00,5V8DX8Ne1dU5vBJ2V9p2goEgLb4SPQhbn3AhbtUKGrEC,MANIFEST,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),4.377,winner,1.329,1.767,RUG_RISK
2026-07-25 00:33:18.523434+00,8cmjw78LEnf7riQBCvfERqx6Tq64UtwkXvb8FwuXsDmV,Goblin,"trigger 2.04× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",4.609,winner,1.429,2.045,RUG_RISK
2026-07-25 00:37:17.313826+00,EbzAM6hw7MQP8VNiwixoc5mgW18NkR348HFxVMHypump,Waddles,MOON_STEADY — regime gate: 8h paper -7.4% on 14 — benched,10.231,winner,1.333,1.680,MOON_STEADY
2026-07-25 01:04:17.668675+00,AJ93eb1wU8ZGSMR5rq42LsC4w3xoRBjPGYX5qshBYvfZ,MAKE,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.161,winner,1.271,1.544,RUG_RISK
2026-07-25 01:04:38.183881+00,FqwAtcdF1dxQ12nFbX9RBdghABbSRRynmNxcUSoGwd7W,Waddles,"inflow 1.17× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",2.206,winner,1.171,1.371,BASE
2026-07-25 01:08:19.272435+00,D6BVEQ6JSaPf3RNgSUmiKNor4sZhhDXcUomweNtcouUo,WAGTMI,"trigger 1.72× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",2.998,winner,1.312,1.724,RISER
2026-07-25 01:08:32.739959+00,BbGZAFgjuwaHbHrx8KCKLbaPZoo8dAzuGraNyGph3gEs,afafafaf,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.571,rug,1.122,1.258,RUG_RISK
2026-07-25 01:09:05.511856+00,EDeqpvnBQ82HLWqX1CT6BbaG4G7eeuwKQXDBdVjohHGJ,LR,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),4.381,winner,1.123,1.261,RUG_RISK
2026-07-25 01:09:18.001786+00,Aqekmgx2EHNxKLFuMeqWxESDAfvCaXJpgp8j4LJw8GVu,WAGMI,pool 2024 below the 8000 depth floor — no exit at size,3.534,winner,1.247,1.557,MOON_VIOLENT
2026-07-25 01:10:45.7333+00,92g5ZKBGULMycuy4BYCtwy4SPDtG1AcvrLRqqHhyhZRd,WAGTMI,"inflow 1.14× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",6.911,winner,1.136,1.292,BASE
2026-07-25 01:16:35.243255+00,H2Pg94B18bmdRe2upc3fBa7x5Ayh48mGdEbr2beEeJHn,Goblin,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),6.102,winner,1.139,1.297,RUG_RISK
2026-07-25 01:21:25.344131+00,Bk4z7JKdwkvUKZ78SViCXpUfXWfsgdiS8qnN7c8Kpump,BULLMOTHY,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.554,dud,1.128,1.241,RUG_RISK
2026-07-25 01:30:23.755687+00,4MmSbmGXg4NAuDE1pcGUVbcpJDhY4SjPYj9eukLySWQF,Mememan,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),15.263,winner,1.129,1.274,RUG_RISK
2026-07-25 01:31:05.635122+00,3FkCbixbeKG3EVJRLSGZKUCF7S8uLBNDt1eM9smWrF9H,Waddles,"trigger 1.75× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",6.376,winner,1.321,1.750,MOON_STEADY
2026-07-25 01:32:39.163858+00,BrDSqCoyMiGcZLfr67cHvCvoyooJbhb8VJred2LrZpMV,HOOD,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.532,dud,1.103,1.214,RUG_RISK
2026-07-25 01:34:16.463435+00,GLbmmQc61yj48k6FxgqjrQctRwsJ7De3856cTADnpump,ERROR,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.540,rug,1.132,1.251,RUG_RISK
2026-07-25 01:36:43.5851+00,31bd6DdKVAKxMT7Q8YngUoz2q5jUAx5fLZP22FQJx3Zo,BIGFOOT,"trigger 1.83× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",9.438,winner,1.353,1.827,BASE
2026-07-25 01:40:34.851429+00,CGZqJkbNpm9xWYL1DRTaUZqE9oX9f5kT6HuxCaRJs4PT,BIGFOOT,pool 2085 below the 2500 depth floor (smart-money floor) — no exit at size,4.611,winner,1.389,1.932,MOON_VIOLENT
2026-07-25 01:45:23.181684+00,3aa8X8UBWPUZmqNSCCKBknfpyyz3fZjHisYADdgcS9SZ,BIGFOOT,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),4.978,winner,1.165,1.312,RUG_RISK
2026-07-25 01:53:38.58721+00,2SsEa8R4ivKzPpVQE1CzxWD1LAaEqT8cPJz8uTbG1Vg7,BIGFOOT,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.890,winner,1.098,1.206,RUG_RISK
2026-07-25 02:01:19.603814+00,AdHUsUTnb7t14C9y49sQ4dZNUBQx3kb5Ff6ZYCgTVh4X,BIGFOOT,pool 2214 below the 8000 depth floor — no exit at size,10.048,winner,1.360,1.850,MOON_FAST
2026-07-25 02:01:26.910219+00,6eS4WSVRTfRasm5am6wAxfM7PBqLhDKXC2sa6cCAeoUu,michi,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.876,rug,1.147,1.315,RUG_RISK
2026-07-25 02:11:43.629564+00,H3NzcizFrJuE595dk5eajCwKNtP5qUBGU19zmLYVKexd,Waddles,"trigger 2.05× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",2.046,winner,1.440,2.046,BASE
2026-07-25 02:16:30.167294+00,4JW6kSeHtUfDbNEs8r9FuQG7xrB9FPsv3KUYXcPBhYgy,REMAIN,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.520,rug,1.107,1.226,RUG_RISK
2026-07-25 02:16:33.052221+00,53k8nd6nQr15fwGiCPhP5nMp13Hxa7ub4mSS4kLp2Kbv,FT,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.111,winner,1.112,1.238,RUG_RISK
2026-07-25 02:20:30.008473+00,BEXgN96FHZ44YNCgZqDeHYfVqaBNb4Yozy18LKPqeu7,BIGFOOT,"inflow 1.14× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",9.907,winner,1.141,1.286,BASE
2026-07-25 02:20:37.431889+00,AiXgDYEcW5zSjGiyCTtppZWHHLyForP2mgmbEDaJ5F6F,DOWN,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.605,winner,1.294,1.675,RUG_RISK
2026-07-25 02:23:58.161538+00,BJR6RY632NmmroLFhCcj9wQ6p5KRfPcSNnjJZLZAKiyC,Jimothy,entry retry refused — price ran >10% since first quote (chase guard),4.165,winner,1.238,1.533,MOON_SLOW
2026-07-25 02:24:33.552682+00,qid3kBDsZtnMEqU9YGf2Pw3sFoznv7utm1ECr52pump,USOH,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.942,rug,1.178,1.350,RUG_RISK
2026-07-25 02:25:21.023458+00,FdLopDehMTWNTJXKotzzPAGQekjNHBuZxBuWdbj6YWZb,DAO,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.371,rug,1.172,1.371,RUG_RISK
2026-07-25 02:42:55.852576+00,CNoHkHTvpxZbmJvnpANCxy4m2V4vri7C25xP474JMMAd,TRUMP2028,"trigger 1.89× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",6.243,winner,1.372,1.885,BASE
2026-07-25 02:43:43.801923+00,HT1tjwTGNpRtZAm1j17SyUUHxfPdpVmM33vzYoh7wSRQ,TRUMP2028,"inflow 1.17× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",9.340,winner,1.172,1.364,BASE
2026-07-25 02:45:16.326922+00,CNchLbx1B1h5jNYfDnWciuyvxGdEoRG5RsUvrZMNLhC7,TRUMP2028,"inflow 1.14× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",7.291,winner,1.135,1.290,BASE
2026-07-25 02:54:08.913836+00,HV2Kd239AbHLJedjiUryR4cdfyUVgTd7LfLTvAiJxUsA,TRUMP 2028,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.483,rug,1.110,1.232,RUG_RISK
2026-07-25 03:03:10.224903+00,H3CwprsF5en3AmqjMCfMiP7MtQk74M2ZjstmHYqBpump,TREMP28,MOON_STEADY — regime gate: 8h paper -13.4% on 15 — benched,6.207,winner,1.145,1.274,MOON_STEADY
2026-07-25 03:05:34.983031+00,v2rUKXotqD3ao12JYfaDjFaJJrNS4Eb24jsHrvepump,PWEASE,inflow 1.14× below the 1.15× band (71% vs 45% win),1.454,rug,1.137,1.249,BASE
2026-07-25 03:14:00.324728+00,FodqjYvrPBuftUpivtyjNy4ApR5gCnjuDt8NVm9WAQmy,TREMP,"inflow 1.10× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",13.524,winner,1.096,1.201,BASE
2026-07-25 03:17:18.511202+00,4v1aggarSWYJcgBYXDKjd6AyiXvyYGUXg5cu6n5n64RM,TREMP,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.293,winner,1.103,1.216,RUG_RISK
2026-07-25 03:20:05.935301+00,76xpkVEmaYKBeupCVjfzjcJgCekFayBJteWbNazKBJwb,Vance,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.542,winner,1.096,1.202,RUG_RISK
2026-07-25 03:36:07.609681+00,YTZvriEerXycgNexQwRXDGsT5EfmVGQc8ZEYEB5pump,Tremp2028,"trigger 1.88× in the sensor slice (>1.65) — paper probes it, live declines (−$1.01/t measured)",2.428,winner,1.419,1.878,RUG_RISK
2026-07-25 03:40:52.832971+00,GiXNyV532jhFa8YxK1meh1vJ2QsQdLTpt75a7n88NHsX,Tremp2028,"inflow 1.14× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",19.852,winner,1.137,1.293,BASE
2026-07-25 03:45:53.307993+00,6TUzCJ67Nz4Lwd6B4aEPPwppdjoqiwHvQErVKjQSPtXw,TRUMP2028,"inflow 1.10× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",1.313,dud,1.101,1.212,BASE
2026-07-25 04:04:21.785714+00,35pg2PiFsyUN6vtYfwov6zUZDoLQ2pmjXYQdWgQB8VKV,RobinBull,pool 1974 below the 2500 depth floor (smart-money floor) — no exit at size,9.245,winner,1.214,1.473,MOON_FAST
2026-07-25 04:07:27.322454+00,CUQBip6ntbgmvTGauiprK7UVqXaVqPmehx28Gb1mHVEA,RTR,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.279,winner,1.102,1.213,RUG_RISK
2026-07-25 04:37:12.240926+00,2zCzYVUVpWHHJScGSHgegECRbnwyd4rhFDVt7Vy8pump,HOLD,inflow 1.13× below the 1.15× band (71% vs 45% win),1.602,dud,1.125,1.236,MOON_STEADY
2026-07-25 04:37:27.330539+00,ErqBcnMwyNTyi7nG5CxTJfvZEXpt1roR4xZgHt217vEv,GCC,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),2.645,winner,1.185,1.403,RUG_RISK
2026-07-25 04:40:05.421041+00,9VGbnvhdyqGcvidsmztsJXgbndwe5AATzEcWzYQoQhmE,HOLD,RUG_RISK — class is not traded (RUG_RISK not formula-qualified: needs crowd-PASS + in-envelope),1.343,dud,1.102,1.219,RUG_RISK
2026-07-25 04:46:00.430996+00,3vNTmWWyqDPg8C359StSr2GziLcAzgiHqEkgSX1R3w27,RTR,"inflow 1.17× below the 1.2× floor — sub-envelope crowd-pass ran −$0.81/t at size (F3 floor, ratified; paper probes it)",2.817,winner,1.169,1.367,RISER
